chamber_name,city,state,website,website_guess,website_source,maps_link,member_directory_url,all_links,phone,email,address,image
Alaska Chamber of Commerce,"Anchorage, AK",AK,http://www.alaskachamber.com,,scraped,"https://maps.google.com/?q=2550 Denali St, Anchorage, AK, 99503-2783",,"https://maps.google.com/?q=2550 Denali St, Anchorage, AK, 99503-2783;http://www.alaskachamber.com",,,"2550 Denali St Anchorage, AK 99503-2783",
Anchorage Chamber of Commerce,"Anchorage, AK",AK,http://www.anchoragechamber.org,,scraped,"https://maps.google.com/?q=1016 W 6th Ave, Anchorage, AK, 99501-1963",,"https://maps.google.com/?q=1016 W 6th Ave, Anchorage, AK, 99501-1963;http://www.anchoragechamber.org",,,"1016 W 6th Ave Anchorage, AK 99501-1963",
Chugiak-Eagle River Chamber of Commerce,"Eagle River, AK",AK,http://www.cer.org,,scraped,"https://maps.google.com/?q=12001 Business District, Ste. 108, Eagle River, AK, 99577-0353",,"https://maps.google.com/?q=12001 Business District, Ste. 108, Eagle River, AK, 99577-0353;http://www.cer.org",,,"12001 Business District, Ste. 108 Eagle River, AK 99577-0353",
Denali Chamber of Commerce,"Healy, AK",AK,http://www.denalichamber.com,,scraped,"https://maps.google.com/?q=Mile 0.4 Healy Spur Road, Healy, AK, 99743",,"https://maps.google.com/?q=Mile 0.4 Healy Spur Road, Healy, AK, 99743;http://www.denalichamber.com",,,"4 Healy Spur Road Healy, AK 99743",
Greater Fairbanks Chamber of Commerce,"Fairbanks, AK",AK,http://www.fairbankschamber.org,,scraped,"https://maps.google.com/?q=100 Cushman St, Fairbanks, AK, 99701-4661",,"https://maps.google.com/?q=100 Cushman St, Fairbanks, AK, 99701-4661;http://www.fairbankschamber.org",,,"100 Cushman St Fairbanks, AK 99701-4661",
Greater Ketchikan Chamber of Commerce,"Ketchikan, AK",AK,http://www.ketchikanchamber.com,,scraped,"https://maps.google.com/?q=2417 Tongass Ave, Ketchikan, AK, 99901-5900",,"https://maps.google.com/?q=2417 Tongass Ave, Ketchikan, AK, 99901-5900;http://www.ketchikanchamber.com",,,"2417 Tongass Ave Ketchikan, AK 99901-5900",
Greater Palmer Chamber of Commerce,"Palmer, AK",AK,http://www.palmerchamber.org,,scraped,"https://maps.google.com/?q=P.O Box 45, Palmer, AK, 99645-0001",,"https://maps.google.com/?q=P.O Box 45, Palmer, AK, 99645-0001;http://www.palmerchamber.org",,,"45 Palmer, AK 99645-0001",
Greater Sitka Chamber of Commerce,"Sitka, AK",AK,http://www.sitkachamber.com/,,scraped,"https://maps.google.com/?q=104 Lake St, Sitka, AK, 99835-7559",,"https://maps.google.com/?q=104 Lake St, Sitka, AK, 99835-7559;http://www.sitkachamber.com/",,,"104 Lake St Sitka, AK 99835-7559",
Greater Wasilla Chamber of Commerce,"Wasilla, AK",AK,http://www.wasillachamber.org,,scraped,"https://maps.google.com/?q=1155 E Depot Rd, Wasilla, AK, 99654-8115",,"https://maps.google.com/?q=1155 E Depot Rd, Wasilla, AK, 99654-8115;http://www.wasillachamber.org",,,"1155 E Depot Rd Wasilla, AK 99654-8115",
Homer Chamber of Commerce & Visitor Center,"Homer, AK",AK,http://www.homeralaska.org,,scraped,"https://maps.google.com/?q=201 Sterling Hwy, Homer, AK, 99603-7832",,"https://maps.google.com/?q=201 Sterling Hwy, Homer, AK, 99603-7832;http://www.homeralaska.org",,,"201 Sterling Hwy Homer, AK 99603-7832",
Juneau Chamber of Commerce,"Juneau, AK",AK,http://www.juneauchamber.com,,scraped,"https://maps.google.com/?q=3030 Vintage Blvd, Juneau, AK, 99801-7100",,"https://maps.google.com/?q=3030 Vintage Blvd, Juneau, AK, 99801-7100;http://www.juneauchamber.com",,,"3030 Vintage Blvd Juneau, AK 99801-7100",
Kenai Chamber of Commerce & Visitor Center,"Kenai, AK",AK,http://www.kenaichamber.org/,,scraped,"https://maps.google.com/?q=11471 Kenai Spur Hwy, Kenai, AK, 99611-7757",,"https://maps.google.com/?q=11471 Kenai Spur Hwy, Kenai, AK, 99611-7757;http://www.kenaichamber.org/",,,"11471 Kenai Spur Hwy Kenai, AK 99611-7757",
Kodiak Chamber of Commerce,"Kodiak, AK",AK,http://www.kodiakchamber.org,,scraped,"https://maps.google.com/?q=100 E Marine Way, Kodiak, AK, 99615-6440",,"https://maps.google.com/?q=100 E Marine Way, Kodiak, AK, 99615-6440;http://www.kodiakchamber.org",,,"100 E Marine Way Kodiak, AK 99615-6440",
Resource Development Council For Alaska Inc.,"Anchorage, AK",AK,https://www.akrdc.org/,,scraped,"https://maps.google.com/?q=301 W Northern Lights Blvd, Anchorage, AK, 99503-2652",,"https://maps.google.com/?q=301 W Northern Lights Blvd, Anchorage, AK, 99503-2652;https://www.akrdc.org/",,,"301 W Northern Lights Blvd Anchorage, AK 99503-2652",
Soldotna Chamber of Commerce,"Soldotna, AK",AK,http://www.soldotnachamber.com,,scraped,"https://maps.google.com/?q=44790 Sterling Hwy, Soldotna, AK, 99669-7926",,"https://maps.google.com/?q=44790 Sterling Hwy, Soldotna, AK, 99669-7926;http://www.soldotnachamber.com",,,"44790 Sterling Hwy Soldotna, AK 99669-7926",
Anchor Point Chamber of Commerce,"Anchor Point, AK",AK,http://www.anchorpointalaska.info,,scraped,"https://maps.google.com/?q=P.O Box 610, Anchor Point, AK, 99556-0610",,"https://maps.google.com/?q=P.O Box 610, Anchor Point, AK, 99556-0610;http://www.anchorpointalaska.info",,,"610 Anchor Point, AK 99556-0610",
Bethel Chamber of Commerce,"Bethel, AK",AK,,,none,"https://maps.google.com/?q=P.O Box 329, Bethel, AK, 99559-0329",,"https://maps.google.com/?q=P.O Box 329, Bethel, AK, 99559-0329",,,"329 Bethel, AK 99559-0329",
Big Lake Chamber ofCommerce,"Big Lake, AK",AK,http://www.biglake-ak.com,,scraped,"https://maps.google.com/?q=P.O Box 520067, Big Lake, AK, 99652-0067",,"https://maps.google.com/?q=P.O Box 520067, Big Lake, AK, 99652-0067;http://www.biglake-ak.com",,,"520067 Big Lake, AK 99652-0067",
Bristol Bay Borough Chamber of Commerce,"King Salmon, AK",AK,http://www.bristolbaychamberofcommerce.org,,scraped,"https://maps.google.com/?q=647 Air Force Rd Suite 237, King Salmon, AK, 99613",,"https://maps.google.com/?q=647 Air Force Rd Suite 237, King Salmon, AK, 99613;http://www.bristolbaychamberofcommerce.org",,,"647 Air Force Rd Suite 237 King Salmon, AK 99613",
Cooper Landing Chamber of Commerce,"Cooper Landing, AK",AK,http://www.cooperlandingchamber.com,,scraped,"https://maps.google.com/?q=P.O Box 809, Cooper Landing, AK, 99572-0809",,"https://maps.google.com/?q=P.O Box 809, Cooper Landing, AK, 99572-0809;http://www.cooperlandingchamber.com",,,"809 Cooper Landing, AK 99572-0809",
Cordova Chamber of Commerce,"Cordova, AK",AK,http://www.cordovachamber.com,,scraped,"https://maps.google.com/?q=P.O Box 99, Cordova, AK, 99574-0099",,"https://maps.google.com/?q=P.O Box 99, Cordova, AK, 99574-0099;http://www.cordovachamber.com",,,"99 Cordova, AK 99574-0099",
Delta Chamber of Commerce & Visitor Center,"Delta Junction, AK",AK,http://www.deltachamber.org,,scraped,"https://maps.google.com/?q=P.O Box 987, Delta Junction, AK, 99737-0987",,"https://maps.google.com/?q=P.O Box 987, Delta Junction, AK, 99737-0987;http://www.deltachamber.org",,,"987 Delta Junction, AK 99737-0987",
Dillingham Chamber of Commerce,"Dillingham, AK",AK,http://www.dillinghamchamberofcommerce.com,,scraped,"https://maps.google.com/?q=P.O Box 348, Dillingham, AK, 99576-0348",,"https://maps.google.com/?q=P.O Box 348, Dillingham, AK, 99576-0348;http://www.dillinghamchamberofcommerce.com",,,"348 Dillingham, AK 99576-0348",
Greater Copper Valley Chamber of Commerce,"Glennallen, AK",AK,http://www.traveltoalaska.com,,scraped,"https://maps.google.com/?q=P.O Box 469, Glennallen, AK, 99588-0469",,"https://maps.google.com/?q=P.O Box 469, Glennallen, AK, 99588-0469;http://www.traveltoalaska.com",,,"469 Glennallen, AK 99588-0469",
Greater Whittier Chamber of Commerce,"Whittier, AK",AK,,,none,"https://maps.google.com/?q=P.O Box 607, Whittier, AK, 99693-0607",,"https://maps.google.com/?q=P.O Box 607, Whittier, AK, 99693-0607",,,"607 Whittier, AK 99693-0607",
Haines Chamber of Commerce,"Haines, AK",AK,http://www.haineschamber.org,,scraped,"https://maps.google.com/?q=P.O Box 1449, Haines, AK, 99827-1449",,"https://maps.google.com/?q=P.O Box 1449, Haines, AK, 99827-1449;http://www.haineschamber.org",,,"1449 Haines, AK 99827-1449",
Houston Chamber of Commerce,"Big Lake, AK",AK,http://www.houstonakchamber.com,,scraped,"https://maps.google.com/?q=P.O Box 521612, Big Lake, AK, 99652-1612",,"https://maps.google.com/?q=P.O Box 521612, Big Lake, AK, 99652-1612;http://www.houstonakchamber.com",,,"521612 Big Lake, AK 99652-1612",
Kennicott-McCarthy Chamber of Commerce,"Glennallen, AK",AK,,,none,"https://maps.google.com/?q=P.O Box Mxy, Glennallen, AK, 99588-8998",,"https://maps.google.com/?q=P.O Box Mxy, Glennallen, AK, 99588-8998",,,,
Nenana Chamber of Commerce,"Nenana, AK",AK,http://www.mtaonline.net/~nenana,,scraped,"https://maps.google.com/?q=P.O Box 70, Nenana, AK, 99760-0070",,"https://maps.google.com/?q=P.O Box 70, Nenana, AK, 99760-0070;http://www.mtaonline.net/~nenana",,,"70 Nenana, AK 99760-0070",
Ninilchik Chamber of Commerce,"Ninilchik, AK",AK,,,none,"https://maps.google.com/?q=P.O Box 39164, Ninilchik, AK, 99639-0164",,"https://maps.google.com/?q=P.O Box 39164, Ninilchik, AK, 99639-0164",,,"39164 Ninilchik, AK 99639-0164",
Nome Chamber of Commerce,"Nome, AK",AK,https://www.visitnomealaska.com/chamber/home,,scraped,"https://maps.google.com/?q=P.O Box 250, Nome, AK, 99762-0250",,"https://maps.google.com/?q=P.O Box 250, Nome, AK, 99762-0250;https://www.visitnomealaska.com/chamber/home",,,"250 Nome, AK 99762-0250",
North Peninsula Chamber of Commerce,"Nikiski, AK",AK,,,none,"https://maps.google.com/?q=P.O Box 8053, Nikiski, AK, 99635-8053",,"https://maps.google.com/?q=P.O Box 8053, Nikiski, AK, 99635-8053",,,"8053 Nikiski, AK 99635-8053",
North Pole Community Chamber of Commerce,"North Pole, AK",AK,http://www.northpolechamber.org,,scraped,"https://maps.google.com/?q=P.O Box 55071, North Pole, AK, 99705-0071",,"https://maps.google.com/?q=P.O Box 55071, North Pole, AK, 99705-0071;http://www.northpolechamber.org",,,"55071 North Pole, AK 99705-0071",
Prince of Wales Chamber of Commerce,"Klawock, AK",AK,http://www.princeofwalescoc.org,,scraped,"https://maps.google.com/?q=P.O Box 490, Klawock, AK, 99925-0490",,"https://maps.google.com/?q=P.O Box 490, Klawock, AK, 99925-0490;http://www.princeofwalescoc.org",,,"490 Klawock, AK 99925-0490",
Seldovia Chamber ofCommerce,"Seldovia, AK",AK,http://www.seldovia.com,,scraped,"https://maps.google.com/?q=P.O Box F, Seldovia, AK, 99663-0150",,"https://maps.google.com/?q=P.O Box F, Seldovia, AK, 99663-0150;http://www.seldovia.com",,,0150,
Seward Chamber of Commerce,"Seward, AK",AK,https://www.seward.com,,scraped,"https://maps.google.com/?q=2001 Seward Hwy, Seward, AK, 99664-9733",,"https://maps.google.com/?q=2001 Seward Hwy, Seward, AK, 99664-9733;https://www.seward.com",,,"2001 Seward Hwy Seward, AK 99664-9733",
Skagway Chamber of Commerce,"Skagway, AK",AK,http://www.skagwaychamber.org,,scraped,"https://maps.google.com/?q=P.O Box 194, Skagway, AK, 99840-0194",,"https://maps.google.com/?q=P.O Box 194, Skagway, AK, 99840-0194;http://www.skagwaychamber.org",,,"194 Skagway, AK 99840-0194",
Stewart-Hyder International Chamber of Commerce,"Hyder, AK",AK,http://www.stewart-hyder.com,,scraped,"https://maps.google.com/?q=P.O Box 149, Hyder, AK, 99923-0149",,"https://maps.google.com/?q=P.O Box 149, Hyder, AK, 99923-0149;http://www.stewart-hyder.com",,,"149 Hyder, AK 99923-0149",
Sunshine Chamber of Commerce,"Willow, AK",AK,http://www.sunshinecitylimits.com,,scraped,"https://maps.google.com/?q=P.O Box 793, Willow, AK, 99688-0793",,"https://maps.google.com/?q=P.O Box 793, Willow, AK, 99688-0793;http://www.sunshinecitylimits.com",,,"793 Willow, AK 99688-0793",
Talkeetna Chamber of Commerce,"Talkeetna, AK",AK,https://www.talkeetnachamber.org/,,scraped,"https://maps.google.com/?q=P.O Box 334, Talkeetna, AK, 99676-0334",,"https://maps.google.com/?q=P.O Box 334, Talkeetna, AK, 99676-0334;https://www.talkeetnachamber.org/",,,"334 Talkeetna, AK 99676-0334",
Tok Chamber of Commerce,"Tok, AK",AK,,,none,"https://maps.google.com/?q=P.O Box 389, Tok, AK, 99780-0389",,"https://maps.google.com/?q=P.O Box 389, Tok, AK, 99780-0389",,,"389 Tok, AK 99780-0389",
Unalaska/Dutch Harbor Chamber of Commerce,"Unalaska, AK",AK,http://www.unalaska.info,,scraped,"https://maps.google.com/?q=P.O Box 545, Unalaska, AK, 99685-0545",,"https://maps.google.com/?q=P.O Box 545, Unalaska, AK, 99685-0545;http://www.unalaska.info",,,"545 Unalaska, AK 99685-0545",
Willow Chamber of Commerce,"Willow, AK",AK,http://www.willowchamber.org,,scraped,"https://maps.google.com/?q=P.O Box 183, Willow, AK, 99688-0183",,"https://maps.google.com/?q=P.O Box 183, Willow, AK, 99688-0183;http://www.willowchamber.org",,,"183 Willow, AK 99688-0183",
Wrangell Chamber of Commerce,"Wrangell, AK",AK,http://www.wrangellchamber.org,,scraped,"https://maps.google.com/?q=P.O Box 49, Wrangell, AK, 99929-0049",,"https://maps.google.com/?q=P.O Box 49, Wrangell, AK, 99929-0049;http://www.wrangellchamber.org",,,"49 Wrangell, AK 99929-0049",
